title,date,location,region,event_page,image_url,description
AMWC Japan,2025-11-08 - 2025-11-09,"Tokyo, Japan",Asia,https://amwc-japan.com/en/,/content/dam/Informa/informa-markets/events-logos/amwcjapan.jpg,"Ecco una sintesi in 2 frasi dell'evento ""AMWC Japan"": 
L'AMWC Japan è un congresso medico internazionale di prim'ordine che si concentra sulla medicina estetica e anti-invecchiamento, rivolto a medici, chirurghi plastici e dermatologi di tutto il mondo. L'evento, che si terrà a Tokyo l'8 e 9 novembre 2025, offre una piattaforma per condividere conoscenze ed esperienze tra esperti del settore, con una lineup di relatori di alto livello e una vasta gamma di argomenti relativi alla medicina estetica e anti-invecchiamento."
ISSA Show North America,2025-11-10 - 2025-11-13,"Las Vegas, United States",North America,https://www.issashow.com,/content/dam/Informa/informa-markets/events-logos/ISSAnorthamerica.jpg,Description unavailable (failed to fetch page).
BIFA,2025-11-11 - 2025-11-12,"Hong Kong, Hong Kong, S.A.R., China",Asia,https://www.beautyifa.com/,/content/dam/Informa/informa-markets/events-logos/bifa.png,"Ecco un riassunto in 2 frasi sull'evento BIFA, il suo focus e il suo pubblico: 
Il BIFA (Beauty Ingredients & Formulation Asia) è un simposio scientifico e una fiera B2B che si concentra sull'intersezione tra scienza, innovazione e formulazione nel settore della bellezza e della cura personale, rivolto a professionisti del settore come formulatori, ricercatori, innovatori di marchi e fornitori. L'evento, che si terrà l'11-12 novembre 2025 ad Hong Kong, offre una piattaforma strategica per esplorare le ultime ricerche e innovazioni nel settore, con oltre 30 esperti globali che presenteranno le loro scoperte e con possibilità di networking e incontro con leader del settore."
"Jewellery, Gem & Technology Dubai",2025-11-11 - 2025-11-13,"Dubai, United Arab Emirates",Middle East & Africa,https://www.jgtdubaijewelleryshow.com/,/content/dam/Informa/informa-markets/events-logos/LOGO_JGTD_vert_color.png,"Ecco una sintesi in 2 frasi dell'evento ""Jewellery, Gem & Technology Dubai"": 
L'evento ""Jewellery, Gem & Technology Dubai"" si concentra sul settore dei gioielli, delle pietre preziose e della tecnologia, offrendo una piattaforma per gli esperti del settore e gli appassionati di incontrarsi e scoprire le ultime tendenze e innovazioni. L'evento è rivolto a un pubblico di professionisti del settore, tra cui gioiellieri, commercianti di pietre preziose e tecnologi, che possono partecipare a conferenze, workshop e mostre per rimanere aggiornati sulle ultime novità e opportunità del settore."
Seatrade Maritime Crew Connect Global,2025-11-11 - 2025-11-13,"Manila, Philippines",Asia,https://www.crew-connect-global.com/en/home.html,/content/dam/Informa/informa-markets/events-logos/crew-connect-global-colour-logo.jpg,Description unavailable (failed to fetch page).
Adhesives & Bonding Expo Europe,2025-11-11 - 2025-11-13,"Stuttgart, Germany",Europe,https://www.adhesivesandbondingexpo-europe.com/,/content/dam/Informa/informa-markets/events-logos/adhesives-and-management-expo-europe.png,"Ecco una sintesi in 2 frasi dell'evento ""Adhesives & Bonding Expo Europe"": 
L'Adhesives & Bonding Expo Europe è la più grande fiera gratuita e conferenza per prodotti di bonding industriale e manifattura in Europa, dove gli esperti e i leader del settore possono connettersi, esplorare tecnologie all'avanguardia e scoprire opportunità di business. La fiera, che si tiene a Stoccarda in Germania, è rivolta a un pubblico di professionisti e decision-maker del settore, che possono partecipare gratuitamente e accedere anche alle fiere co-locate Foam Expo Europe e Thermal Management Expo Europe."
Foam Expo Europe,2025-11-11 - 2025-11-13,"Stuttgart, Germany",North America,https://www.foam-expo-europe.com/ ,/content/dam/Informa/informa-markets/events-logos/foam-expo-europe-logo.png,Description unavailable (failed to fetch page).
Cosmopack Asia,2025-11-11 - 2025-11-13,"Hong Kong, Hong Kong, S.A.R., China",Asia,https://www.cosmoprof-asia.com/,/content/dam/Informa/informa-markets/events-logos/CPKA_logo.png,"Ecco una sintesi in due frasi dell'evento ""Cosmopack Asia"", il suo focus e il suo pubblico: 
Cosmopack Asia è un evento dedicato alla catena di approvvigionamento della bellezza, che si concentra su ingredienti, macchinari, imballaggio, produzione su contratto e etichette private, rivolto a tutti i professionisti del settore della bellezza. 
L'evento si rivolge a un pubblico di produttori, distributori e acquirenti di prodotti per la bellezza, offrendo una piattaforma ideale per stabilire partnership commerciali, scoprire le ultime tendenze e innovazioni nel settore e partecipare a seminari e dimostrazioni dal vivo."
NCN Fall Investor Meeting,2025-11-12 - 2025-11-12,"San Francisco, United States",North America,https://www.nutritioncapital.com/en/Investor-meeting/NCN-Fall-Investor-Meeting.html,/content/dam/Informa/informa-markets/events-logos/ncn.jpg,Description unavailable (failed to fetch page).
Cosmoprof Asia,2025-11-12 - 2025-11-14,"Hong Kong, Hong Kong, S.A.R., China",Asia,https://www.cosmoprof-asia.com,/content/dam/Informa/informa-markets/events-logos/CPA_rgb.png,"Ecco un riassunto in 2 frasi dell'evento ""Cosmoprof Asia"" in italiano:
Cosmoprof Asia è la principale fiera internazionale B2B del settore della bellezza in Asia, dove i leader del settore si riuniscono per presentare le loro tecnologie all'avanguardia, innovazioni di prodotto e nuove soluzioni. La fiera si concentra sull'intera industria della bellezza, con un pubblico di oltre 70.000 visitatori e 2.650 espositori provenienti da tutto il mondo, e offre una piattaforma ideale per scoprire le ultime tendenze, stabilire partnership e opportunità di business."
SFE Shanghai,2025-11-12 - 2025-11-14,"Shanghai, China",Asia,https://www.sfeshow.com,/content/dam/Informa/informa-markets/events-logos/SFE.png,"Ecco una sintesi in due frasi sull'evento ""SFE Shanghai"" in italiano:
L'evento ""SFE Shanghai"" è una fiera internazionale di franchising e catene di negozi che si concentra su settori come la ristorazione, il retail e i servizi, offrendo un'opportunità per le aziende di incontrare potenziali investitori e partner. La fiera, che si tiene a Shanghai, è rivolta a un pubblico di imprenditori, investitori e professionisti del settore, e offre una piattaforma per la presentazione di marchi e prodotti, nonché per la discussione di tendenze e strategie di business nel settore del franchising e della catena di negozi."
FHC China,2025-11-12 - 2025-11-14,"Shanghai, China",Asia,https://www.fhcchina.com/en,/content/dam/Informa/informa-markets/events-logos/FHCChina.png,"Ecco una descrizione in due frasi dell'evento ""FHC China"", il suo focus e il suo pubblico: 
L'evento FHC China è una piattaforma importante per lo scambio commerciale internazionale nel settore alimentare e della ristorazione, nonché un gateway e una vetrina per le imprese alimentari globali che desiderano entrare nel mercato cinese. L'evento si concentra su 15 settori espositivi principali, tra cui carne, prodotti ittici, alimenti e bevande, e attrae un pubblico di oltre 180.000 acquirenti professionali da tutto il mondo, compresi importatori, distributori, supermercati e catene di ristoranti."
SALON DU CHOCOLAT,2025-11-12 - 2025-11-14,"Shanghai, China",Asia,https://www.salonduchocolat.cn/en,/content/dam/Informa/informa-markets/events-logos/SDC.png,"Ecco una sintesi in 2 frasi dell'evento ""SALON DU CHOCOLAT"" in italiano: 
Il Salon du Chocolat è la più prestigiosa esposizione di cioccolato al mondo, che si concentra sull'industria del cioccolato e offre una piattaforma per gli espositori di mostrare i loro prodotti e tecnologie, rivolgendosi a un pubblico di appassionati di cioccolato e professionisti del settore. L'evento, che si tiene a Shanghai, presenta una vasta gamma di attività, tra cui la Mostra d'Arte del Cioccolato, la Sfilata di Moda del Cioccolato e il Forum Super Cocoa & Cioccolato, e attrae visitatori da tutto il mondo, offrendo un'esperienza unica e immersiva per gli amanti del cioccolato."
SIUF Vietnam,2025-11-13 - 2025-11-15,"Ho Chi Minh City, Vietnam",Asia,https://siufvietnam.com,/content/dam/Informa/informa-markets/events-logos/SIUF.png,"Ecco una sintesi in 2 frasi dell'evento ""SIUF Vietnam"" in italiano: 
L'evento ""SIUF Vietnam"" si concentra sulla promozione dello sviluppo dei marchi di intimo cinesi e rappresenta una piattaforma per l'industria dell'intimo, con un focus su moda, cultura e innovazione, rivolto a professionisti del settore, acquirenti e appassionati di moda. L'evento si rivolge a un pubblico variegato, tra cui espositori, visitatori, marchi di intimo, designer e professionisti dell'industria della moda, offrendo loro l'opportunità di scoprire le ultime tendenze, partecipare a convegni e mostre, e stabilire contatti commerciali."
CBME Vietnam,2025-11-13 - 2025-11-15,"Ho Chi Minh City, Vietnam",Asia,https://cbmevietnam.com,/content/dam/Informa/informa-markets/events-logos/CBME_vn.png,"Ecco un riassunto in due frasi dell'evento ""CBME Vietnam"" in italiano: 
CBME Vietnam è un evento di matchmaking aziendale di alto livello che riunisce leader del settore, innovatori e professionisti di tutta la Vietnam e della regione, con un focus sull'industria dei bambini, dei neonati e della maternità. L'evento si concentra sulla creazione di opportunità di networking strategico e sulla promozione della crescita aziendale, rivolgendosi a espositori, visitatori e media provenienti da tutta la regione."
Cityscape Global Saudi,2025-11-17 - 2025-11-20,"Riyadh, Saudi Arabia",Middle East & Africa,https://www.cityscapeglobal.com/en/home.html,/content/dam/Informa/informa-markets/events-logos/CSGSAUDI24AND25.jpg,Description unavailable (failed to fetch page).
Dubai Airshow,2025-11-17 - 2025-11-21,"Dubai, United Arab Emirates",Middle East & Africa,https://www.dubaiairshow.aero/,/content/dam/Informa/informa-markets/events-logos/DAS_LOGO_RGB_FC.png,"Ecco una sintesi in due frasi dell'evento ""Dubai Airshow"" in italiano:
Il Dubai Airshow è una piattaforma globale per l'innovazione aerospaziale che si concentra sul futuro dell'industria, riunendo oltre 1.500 espositori e 148.000 professionisti del settore provenienti da 150 paesi. L'evento, che si svolge ogni due anni, è un'opportunità per scoprire le ultime innovazioni nel settore aerospaziale, stabilire contatti e concludere affari, e si rivolge a tutti coloro che sono interessati all'aviazione, all'aerospazio e alle tecnologie emergenti."
Smart Nation Expo,2025-11-18 - 2025-11-20,"Kuala Lumpur, Malaysia",Asia,https://smartnationexpo.org/,/content/dam/Informa/informa-markets/events-logos/SmartNation24.png,"Ecco una sintesi in due frasi dell'evento ""Smart Nation Expo"": 
L'evento ""Smart Nation Expo"" è il più grande evento tecnologico del Sud-Est asiatico, che si concentra su tecnologie emergenti come 5G, città intelligenti e Industria 4.0, e si rivolge a leader del settore, decisori politici, urbanisti e innovatori dell'industria. L'evento si tiene a Kuala Lumpur, in Malesia, e offre una piattaforma per discutere e condividere conoscenze su come sfruttare i progressi digitali per plasmare un futuro più intelligente e sostenibile per il Sud-Est asiatico."
Space Tech Expo Europe,2025-11-18 - 2025-11-20,"Bremen, Germany",Europe,https://www.spacetechexpo-europe.com/,/content/dam/Informa/informa-markets/events-logos/SPACE-TECH-US.PNG,"Ecco una sintesi in 2 frasi dell'evento ""Space Tech Expo Europe"": 
L'evento ""Space Tech Expo Europe"" è il più grande evento B2B per il settore spaziale in Europa, che si concentra sull'ingegneria e sulla tecnologia spaziale, offrendo un'opportunità unica per gli esperti del settore di connettersi, scoprire le ultime innovazioni e costruire partnership. L'evento è rivolto a professionisti del settore spaziale, tra cui ingegneri, innovatori e leader di programmi, che possono partecipare a conferenze, esplorare l'area espositiva e stabilire contatti con altri professionisti del settore."
GROWTECH. ANTALYA,2025-11-18 - 2025-11-21,"Antalya, Türkiye",Europe,https://www.growtech.com.tr/,/content/dam/Informa/informa-markets/events-logos/Growtech-Antalya.jpg,Description unavailable (failed to fetch page).
MEDevice Silicon Valley,2025-11-19 - 2025-11-20,"Santa Clara, United States",North America,https://www.medevicesiliconvalley.com/,/content/dam/Informa/informa-markets/events-logos/IM_Logos-MEDevice-SiliconValley.png,Description unavailable (failed to fetch page).
Plastics & Rubber Indonesia,2025-11-19 - 2025-11-22,"Jakarta, Indonesia",Asia,http://www.plasticsandrubberindonesia.com,/content/dam/Informa/informa-markets/events-logos/Plastics_and Rubber_Indonesia.jpg,"Ecco una sintesi di 2 frasi sull'evento ""Plastics & Rubber Indonesia"": 
L'evento ""Plastics & Rubber Indonesia"" è una fiera internazionale che si concentra sulle macchine, sulle tecnologie e sui materiali per l'industria delle plastiche e della gomma, con un focus particolare sull'industria del riciclo delle plastiche, rivolta a professionisti e aziende del settore. La fiera, che si tiene a Giacarta, in Indonesia, è un'opportunità per gli espositori e i visitatori di incontrarsi, scambiare informazioni e conoscenze, e scoprire le ultime tendenze e innovazioni nel settore delle plastiche e della gomma."
ProPak Indonesia,2025-11-19 - 2025-11-22,"Jakarta, Indonesia",Asia,https://www.propakindonesia.com/,/content/dam/Informa/informa-markets/events-logos/ppkindo.jpg,"Ecco una sintesi di 2 frasi sull'evento ""ProPak Indonesia"", il suo focus e il suo pubblico: 
ProPak Indonesia è un evento che si concentra sull'industria della confezione e della trasformazione, rivolto a espositori e visitatori di settori sia upstream che downstream. L'evento, che si tiene a Giacarta, in Indonesia, è un'opportunità per le aziende di connettersi, imparare e fare affari in un ambiente sicuro e sostenibile, con un focus sulla riduzione dell'impatto ambientale e sulla promozione della sostenibilità."
Energy Storage Awards,2025-11-20 - 2025-11-20,"London, United Kingdom",Europe,https://storageawards.solarenergyevents.com/,/content/dam/Informa/informa-markets/events-logos/ES-AWARDS.png,"Ecco una sintesi di 2 frasi sull'evento ""Energy Storage Awards"" in italiano:
L'evento ""Energy Storage Awards"" è una cerimonia di premiazione che si tiene a Londra e che ha lo scopo di riconoscere e celebrare l'eccellenza, l'innovazione e l'impegno nel settore dell'immagazzinamento dell'energia, con oltre 26 categorie che coprono l'intero settore. La cerimonia è rivolta a professionisti e leader del settore, offrendo un'opportunità unica per onorare i risultati eccezionali e networking con i principali attori che plasmano il futuro del settore."
Taiwan Jewellery & Gem Fair,2025-11-21 - 2025-11-24,"Taipei, Taiwan China",Asia,https://www.taiwanjewelleryfair.com/,/content/dam/Informa/informa-markets/events-logos/twj.png,"Ecco una sintesi in 2 frasi dell'evento ""Taiwan Jewellery & Gem Fair"": 
L'evento ""Taiwan Jewellery & Gem Fair"" è una fiera di gioielli e gemme di lusso che si concentra sulla presentazione di collezioni di gioielli su misura, gemme rare e pezzi d'antiquariato di alta qualità, rivolgendosi a clienti facoltosi come VIP del settore bancario, collezionisti, appassionati di orologi di lusso e investitori immobiliari. La fiera, che si tiene a Taipei, è considerata l'evento principale del settore gioiellerie a Taiwan e offre opportunità di business a livello globale, attirando acquirenti da tutto il mondo e ricevendo feedback molto positivi dai partecipanti passati."
TOC Asia,2025-11-25 - 2025-11-26,"Singapore, Singapore",Asia,https://www.tocevents-asia.com/en/Home.html,/content/dam/Informa/informa-markets/events-logos/TOC_Asia.jpg,Description unavailable (failed to fetch page).
Africa Energy Expo,2025-11-25 - 2025-11-27,"Kigali, Rwanda",Middle East & Africa,https://www.africa-energyexpo.com/,/content/dam/Informa/informa-markets/events-logos/AEE%20generic.png,Description unavailable (failed to fetch page).
CPhI & P-Mec India,2025-11-25 - 2025-11-27,"New Delhi, India",Asia,https://www.cphi.com/india/en/home.html,/content/dam/Informa/informa-markets/events-logos/cphiindia_alllogos.jpg,"Ecco una descrizione in due frasi dell'evento ""CPhI & P-Mec India"", il suo focus e il suo pubblico: 
L'evento ""CPhI & P-Mec India"" è una piattaforma per l'industria farmaceutica in India, che si concentra sulla creazione di connessioni e partnership tra aziende e professionisti del settore, offrendo opportunità di business, innovazione e collaborazione. L'evento è rivolto a oltre 50.000 visitatori provenienti da più di 120 paesi, con oltre 2.000 aziende espositrici e uno spazio espositivo di oltre 120.000 metri quadrati, rappresentando il cuore dell'industria farmaceutica in India."
Cityscape Bahrain,2025-11-25 - 2025-11-29,"Manama, Bahrain",Middle East & Africa,https://www.cityscapebahrain.com,/content/dam/Informa/informa-markets/events-logos/CSB.png,"Ecco una sintesi in 2 frasi dell'evento ""Cityscape Bahrain"", il suo focus e il suo pubblico: 
Cityscape Bahrain è il più grande evento immobiliare del Bahrain, che si concentra sulla presentazione di progetti immobiliari innovativi e sulla creazione di opportunità di networking per gli acquirenti, gli investitori e gli operatori del settore. L'evento, che si svolge dal 25 al 29 novembre 2025, è rivolto a un pubblico di oltre 12.000 visitatori, tra cui leader del settore, acquirenti, investitori e professionisti dell'industria immobiliare, offrendo una piattaforma unica per scoprire opportunità di investimento, confrontare prezzi e incontrare esperti del settore."
Jewellery Arabia,2025-11-25 - 2025-11-29,"Manama, Bahrain",Middle East & Africa,https://www.jewelleryarabia.com/en/home.html,/content/dam/Informa/informa-markets/events-logos/Jewellerybahrain.jpg,Description unavailable (failed to fetch page).
